Topic,Data,Timestamp,Date


scd-2022-03/climatedata,Send climate data,01:12:29,2022-07-17

scd-2022-03/climatedata,Send climate data,01:12:29,2022-07-17

scd-2022-04/illuminationdata,Send illumination data,01:12:30,2022-07-17

scd-2022-04/illuminationdata,Send illumination data,01:12:30,2022-07-17

scd-2022-05/motiondata,Send motion data,01:12:31,2022-07-17

scd-2022-05/motiondata,Send motion data,01:12:31,2022-07-17

scd-2022-05/motiondata,Send motion data,01:12:32,2022-07-17

scd-2022-05/motiondata,Send motion data,01:13:05,2022-07-17

scd-2022-05/motiondata,Send motion data,01:13:05,2022-07-17

scd-2022-03/climatedata,Send climate data from central database,21:12:55,2022-07-21

scd-2022-03/climatedata,Hello User,21:13:52,2022-07-21

scd-2022-03/climatedata,Send climate data from central database,21:13:52,2022-07-21

scd-2022-03/climatedata,Hello user,21:14:57,2022-07-21

